iter	Passed	Remaining
0	209	41753
1	644	63808
2	930	61116
3	1029	50465
4	1249	48734
5	1521	49210
6	1572	43366
7	1838	44119
8	2085	44262
9	2265	43040
10	2575	44244
11	2682	42026
12	2938	42262
13	3212	42677
14	3346	41278
15	3389	38977
16	3576	38497
17	3826	38695
18	4106	39118
19	4120	37087
20	4134	35242
21	4406	35648
22	4477	34457
23	4728	34672
24	4781	33470
25	4813	32212
26	5039	32291
27	5237	32171
28	5612	33095
29	6031	34178
30	6409	34940
31	6657	34954
32	7053	35693
33	7307	35675
34	7347	34639
35	7594	34599
36	7665	33769
37	7921	33768
38	8180	33768
39	8440	33761
40	8747	33924
41	9169	34495
42	9580	34981
43	9985	35404
44	10196	35120
45	10452	34992
46	10720	34899
47	11119	35212
48	11536	35549
49	11643	34931
50	12073	35272
51	12337	35113
52	12586	34911
53	12977	35088
54	13337	35163
55	13603	34980
56	14041	35226
57	14383	35214
58	14785	35335
59	14983	34960
60	15363	35008
61	15764	35088
62	16183	35192
63	16573	35219
64	16982	35271
65	17383	35292
66	17753	35242
67	18015	34971
68	18029	34229
69	18406	34184
70	18772	34108
71	19312	34332
72	19362	33685
73	19762	33650
74	20122	33538
75	20472	33402
76	20851	33308
77	21257	33248
78	21464	32876
79	21942	32913
80	22552	33132
81	23054	33176
82	23441	33044
83	23867	32960
84	24341	32933
85	24718	32765
86	25326	32895
87	25756	32780
88	26015	32446
89	26369	32229
90	26741	32031
91	27108	31823
92	27442	31573
93	27752	31295
94	28083	31039
95	28377	30742
96	28680	30454
97	29051	30237
98	29442	30037
99	29757	29757
100	30094	29498
101	30383	29192
102	30732	28941
103	31084	28693
104	31385	28396
105	31700	28111
106	32036	27844
107	32396	27597
108	32753	27344
109	33097	27079
110	33435	26808
111	33812	26567
112	34207	26336
113	34550	26064
114	34785	25710
115	35088	25409
116	35469	25162
117	35652	24775
118	35979	24490
119	36343	24228
120	36703	23963
121	37060	23694
122	37168	23268
123	37394	22919
124	37680	22608
125	37985	22309
126	38217	21967
127	38561	21691
128	38838	21376
129	39252	21135
130	39697	20909
131	40018	20615
132	40425	20364
133	40816	20103
134	41200	19837
135	41630	19590
136	42051	19337
137	42476	19083
138	42816	18790
139	43232	18528
140	43562	18228
141	43933	17944
142	44219	17625
143	44342	17244
144	44734	16968
145	45104	16682
146	45390	16365
147	45750	16074
148	46154	15798
149	46530	15510
150	46814	15191
151	46901	14811
152	47027	14446
153	47382	14153
154	47612	13822
155	48003	13539
156	48376	13249
157	48561	12908
158	48796	12582
159	49146	12286
160	49536	11999
161	49849	11693
162	50365	11432
163	50718	11133
164	50871	10790
165	51196	10486
166	51562	10189
167	51779	9862
168	52109	9558
169	52519	9268
170	52888	8969
171	53028	8632
172	53408	8335
173	53799	8038
174	54384	7769
175	54593	7444
176	54825	7124
177	55172	6819
178	55265	6483
179	55498	6166
180	55663	5843
181	55708	5509
182	55749	5178
183	56155	4883
184	56533	4583
185	56850	4279
186	57148	3972
187	57522	3671
188	57830	3365
189	58229	3064
190	58242	2744
191	58498	2437
192	58815	2133
193	59020	1825
194	59424	1523
195	59817	1220
196	60178	916
197	60259	608
198	60534	304
199	60893	0
